0.0,2.0,0.076
1.0,4.0,0.086
2.0,4.0,0.108
3.0,6.0,0.112
4.0,6.0,0.12
5.0,2.0,0.126
6.0,6.0,0.134
7.0,4.0,0.137
8.0,4.0,0.159
9.0,5.0,0.204
10.0,11.0,0.272
11.0,8.0,0.37
12.0,12.0,0.471
13.0,11.0,0.72
14.0,17.0,1.094
15.0,14.0,1.683
16.0,14.0,1.936
17.0,13.0,1.985
18.0,15.0,2.355
19.0,17.0,2.382
20.0,17.0,2.5
21.0,19.0,2.701
22.0,15.0,2.376
23.0,19.0,2.388
24.0,18.0,2.451
25.0,17.0,2.405
26.0,21.0,2.538
27.0,15.0,2.401
28.0,20.0,2.556
29.0,15.0,2.62
30.0,24.0,2.651
31.0,22.0,2.615
32.0,20.0,2.672
33.0,22.0,2.547
34.0,18.0,2.561
35.0,19.0,2.937
36.0,21.0,2.934
37.0,20.0,2.926
38.0,17.0,2.92
39.0,17.0,2.839
40.0,20.0,3.044
41.0,18.0,2.902
42.0,18.0,3.026
43.0,23.0,3.254
44.0,17.0,3.159
45.0,20.0,3.388
46.0,20.0,3.317
47.0,21.0,3.355
48.0,23.0,3.558
49.0,22.0,3.293
50.0,21.0,3.246
51.0,19.0,3.236
52.0,21.0,3.68
53.0,20.0,3.35
54.0,22.0,3.451
55.0,23.0,3.813
56.0,21.0,3.771
57.0,19.0,3.726
58.0,25.0,3.72
59.0,22.0,4.01
60.0,23.0,4.31
61.0,23.0,4.197
62.0,24.0,4.047
63.0,22.0,4.154
64.0,23.0,4.525
65.0,25.0,4.801
66.0,23.0,4.901
67.0,23.0,4.877
68.0,25.0,5.136
69.0,24.0,5.193
70.0,28.0,5.774
71.0,26.0,5.299
72.0,28.0,5.569
73.0,26.0,5.512
74.0,30.0,5.525
75.0,32.0,5.868
76.0,25.0,6.169
77.0,28.0,5.66
78.0,27.0,6.0
79.0,31.0,6.177
80.0,29.0,6.317
81.0,30.0,6.459
82.0,27.0,6.245
83.0,27.0,6.563
84.0,27.0,6.104
85.0,30.0,6.217
86.0,32.0,6.318
87.0,33.0,6.52
88.0,31.0,6.621
89.0,30.0,6.807
90.0,30.0,6.548
91.0,33.0,7.001
92.0,34.0,7.253
93.0,32.0,7.609
94.0,38.0,8.054
95.0,36.0,8.301
96.0,37.0,8.2
97.0,35.0,8.883
98.0,38.0,9.112
99.0,34.0,9.395
100.0,36.0,9.482
101.0,37.0,9.746
102.0,34.0,9.525
103.0,37.0,10.52
104.0,38.0,10.599
105.0,38.0,11.065
106.0,39.0,10.528
107.0,39.0,10.793
108.0,37.0,10.157
109.0,38.0,10.983
110.0,41.0,10.748
111.0,37.0,11.34
112.0,37.0,10.418
113.0,38.0,10.326
114.0,41.0,10.682
115.0,39.0,11.074
116.0,40.0,11.452
117.0,42.0,11.376
118.0,40.0,11.549
119.0,42.0,11.591
120.0,38.0,11.37
121.0,37.0,10.421
122.0,46.0,11.016
123.0,49.0,11.265
124.0,38.0,11.169
125.0,42.0,10.923
126.0,39.0,11.485
127.0,39.0,11.748
128.0,39.0,11.132
129.0,37.0,11.777
130.0,40.0,11.625
131.0,40.0,12.601
132.0,40.0,11.625
133.0,41.0,11.869
134.0,39.0,12.266
135.0,39.0,12.821
136.0,44.0,12.9
137.0,41.0,11.923
138.0,44.0,12.354
139.0,42.0,13.106
140.0,45.0,11.996
141.0,45.0,13.686
142.0,38.0,12.845
143.0,40.0,12.805
144.0,40.0,13.066
145.0,42.0,12.656
146.0,40.0,12.64
147.0,38.0,12.049
148.0,47.0,12.949
149.0,42.0,12.171
150.0,40.0,12.988
151.0,40.0,12.952
152.0,39.0,11.888
153.0,43.0,12.87
154.0,42.0,12.668
155.0,41.0,13.091
156.0,45.0,12.219
157.0,40.0,13.346
158.0,44.0,12.508
159.0,42.0,13.017
160.0,40.0,13.41
161.0,38.0,12.729
162.0,41.0,13.765
163.0,46.0,12.81
164.0,42.0,12.745
165.0,43.0,13.379
166.0,40.0,13.337
167.0,40.0,13.143
168.0,40.0,13.6
169.0,44.0,12.885
170.0,43.0,13.034
171.0,42.0,13.548
172.0,41.0,13.18
173.0,44.0,13.5
174.0,40.0,12.771
175.0,45.0,12.373
176.0,40.0,12.854
177.0,40.0,12.602
178.0,43.0,13.07
179.0,39.0,13.794
180.0,40.0,12.592
181.0,39.0,12.669
182.0,44.0,12.991
183.0,42.0,13.313
184.0,39.0,12.763
185.0,41.0,13.473
186.0,38.0,13.669
187.0,43.0,12.816
188.0,40.0,13.159
189.0,38.0,13.239
190.0,41.0,12.942
191.0,42.0,13.908
192.0,40.0,13.258
193.0,40.0,13.872
194.0,46.0,13.09
195.0,45.0,14.188
196.0,41.0,14.321
197.0,40.0,13.064
198.0,42.0,13.025
199.0,42.0,13.491
200.0,41.0,13.62
201.0,40.0,13.73
202.0,45.0,13.58
203.0,41.0,13.436
204.0,41.0,13.06
205.0,39.0,13.105
206.0,40.0,13.571
207.0,41.0,13.194
208.0,45.0,13.354
209.0,42.0,12.726
210.0,40.0,13.342
211.0,49.0,12.874
212.0,47.0,13.804
213.0,39.0,13.03
214.0,40.0,13.33
215.0,44.0,14.134
216.0,39.0,12.986
217.0,48.0,13.886
218.0,40.0,13.077
219.0,37.0,13.269
220.0,45.0,13.301
221.0,41.0,13.022
222.0,43.0,12.395
223.0,41.0,13.448
224.0,37.0,12.625
225.0,43.0,12.903
226.0,42.0,12.324
227.0,44.0,12.983
228.0,38.0,12.322
229.0,41.0,12.707
230.0,41.0,13.234
231.0,39.0,12.749
232.0,41.0,12.911
233.0,38.0,13.25
234.0,46.0,12.426
235.0,41.0,13.057
236.0,41.0,13.207
237.0,43.0,12.749
238.0,40.0,12.988
239.0,40.0,12.664
240.0,42.0,13.548
241.0,44.0,13.801
242.0,44.0,13.566
243.0,46.0,13.152
244.0,46.0,13.749
245.0,43.0,13.177
246.0,42.0,12.961
247.0,40.0,13.42
248.0,41.0,12.811
249.0,44.0,12.937
250.0,41.0,13.249
251.0,38.0,13.609
252.0,40.0,13.72
253.0,39.0,13.559
254.0,45.0,12.644
255.0,40.0,13.015
256.0,40.0,12.876
257.0,42.0,13.501
258.0,45.0,13.446
259.0,41.0,12.928
260.0,39.0,13.545
261.0,42.0,12.553
262.0,45.0,12.786
263.0,42.0,13.295
264.0,42.0,12.813
265.0,40.0,12.641
266.0,40.0,12.806
267.0,46.0,12.784
268.0,42.0,13.276
269.0,43.0,12.96
270.0,46.0,12.483
271.0,39.0,12.758
272.0,40.0,12.594
273.0,39.0,13.221
274.0,43.0,12.973
275.0,47.0,12.283
276.0,42.0,12.615
277.0,39.0,12.681
278.0,44.0,12.631
279.0,40.0,13.049
280.0,43.0,13.745
281.0,44.0,13.292
282.0,45.0,12.528
283.0,40.0,13.177
284.0,40.0,12.994
285.0,44.0,13.286
286.0,42.0,13.254
287.0,41.0,13.845
288.0,42.0,12.948
289.0,40.0,13.535
290.0,42.0,13.184
